CustomerID,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Channel,Region
1,12669,9656,7561,214,2674,1338,Retail,Lisbon
2,7057,9810,9568,1762,3293,1776,Hotel,Oporto
3,6353,8808,7684,2405,3516,784,Retail,Other
4,13265,1196,4221,6404,507,178,Hotel,Lisbon
5,22615,5410,7198,3915,1777,518,Retail,Oporto
6,9413,8259,512,963,755,495,Hotel,Other
7,12126,4347,1524,230,239,156,Retail,Lisbon
8,11093,13548,7507,124,2594,3882,Hotel,Oporto
9,24164,1821,6207,4243,331,208,Retail,Other
10,5176,11178,4459,226,722,268,Hotel,Lisbon
